date,y1,y2
2005/03/14 - 2005/03/20,52.46,53.36
2005/03/21 - 2005/03/27,53.97,54.93
2005/03/28 - 2005/04/03,54.1,54.97
2005/04/04 - 2005/04/10,54.45,55.05
2005/04/11 - 2005/04/17,55.32,56.01
2005/04/18 - 2005/04/24,55.33,56.04
2005/04/25 - 2005/05/01,55.21,55.92
2005/05/02 - 2005/05/08,55.03,55.71
2005/05/09 - 2005/05/15,55.66,56.33
2005/05/16 - 2005/05/22,55.71,56.39
2005/05/23 - 2005/05/29,55.61,56.28
2005/05/30 - 2005/06/05,55.48,56.18
2005/06/06 - 2005/06/12,55.63,56.37
2005/06/13 - 2005/06/19,55.82,56.47
2005/06/20 - 2005/06/26,56.07,56.63
2005/06/27 - 2005/07/03,55.07,55.55
2005/07/04 - 2005/07/10,54.95,55.39
2005/07/11 - 2005/07/17,55.61,56.07
2005/07/18 - 2005/07/24,55.95,56.33
2005/07/25 - 2005/07/31,55.59,55.87
2005/08/01 - 2005/08/07,55.74,55.96
2005/08/08 - 2005/08/14,55.64,55.71
2005/08/15 - 2005/08/21,55.42,55.37
2005/08/22 - 2005/08/28,55.24,55.18
2005/08/29 - 2005/09/04,55.7,55.61
2005/09/05 - 2005/09/11,55.9,55.73
2005/09/12 - 2005/09/18,55.39,55.19
2005/09/19 - 2005/09/25,55.99,55.72
2005/09/26 - 2005/10/02,55.71,55.42
2005/10/03 - 2005/10/09,54.83,54.48
2005/10/10 - 2005/10/16,55.27,54.79
2005/10/17 - 2005/10/23,55.15,54.67
2005/10/24 - 2005/10/30,54.6,54.05
2005/10/31 - 2005/11/06,54.68,54.14
2005/11/07 - 2005/11/13,54.32,53.75
2005/11/14 - 2005/11/20,53.86,53.28
2005/11/21 - 2005/11/27,53.31,52.62
2005/11/28 - 2005/12/04,52.19,51.33
2005/12/05 - 2005/12/11,52.78,51.87
2005/12/12 - 2005/12/18,52.84,51.97
2005/12/19 - 2005/12/25,52.93,52.04
2005/12/26 - 2006/01/01,52.51,51.49
2006/01/02 - 2006/01/08,53.25,52.19
2006/01/09 - 2006/01/15,52.67,51.6
2006/01/16 - 2006/01/22,53.48,52.41
2006/01/23 - 2006/01/29,53.65,52.58
2006/01/30 - 2006/02/05,53.57,52.51
2006/02/06 - 2006/02/12,53.35,52.2
2006/02/13 - 2006/02/19,53.77,52.64
2006/02/20 - 2006/02/26,53.57,52.42
2006/02/27 - 2006/03/05,53.95,52.79
2006/03/06 - 2006/03/12,53.92,52.74
2006/03/13 - 2006/03/19,54.16,53.05
2006/03/20 - 2006/03/26,54.07,52.84
2006/03/27 - 2006/04/02,54.24,52.97
2006/04/03 - 2006/04/09,54.3,53.14
2006/04/10 - 2006/04/16,54.63,53.46
2006/04/17 - 2006/04/23,54.31,53.16
2006/04/24 - 2006/04/30,54.13,52.95
2006/05/01 - 2006/05/07,53.5,52.3
2006/05/08 - 2006/05/14,54,52.86
2006/05/15 - 2006/05/21,54.12,52.95
2006/05/22 - 2006/05/28,53.82,52.62
2006/05/29 - 2006/06/04,54.56,53.39
2006/06/05 - 2006/06/11,53.69,52.47
2006/06/12 - 2006/06/18,54.11,52.91
2006/06/19 - 2006/06/25,53.4,52.14
2006/06/26 - 2006/07/02,52.99,51.72
2006/07/03 - 2006/07/09,53.05,51.79
2006/07/10 - 2006/07/16,53.71,52.48
2006/07/17 - 2006/07/23,53.56,52.32
2006/07/24 - 2006/07/30,53.74,52.49
2006/07/31 - 2006/08/06,53.3,52.02
2006/08/07 - 2006/08/13,53.07,51.77
2006/08/14 - 2006/08/20,53.61,52.35
2006/08/21 - 2006/08/27,53.17,51.89
2006/08/28 - 2006/09/03,53.11,51.83
2006/09/04 - 2006/09/10,52.06,50.71
2006/09/11 - 2006/09/17,51.86,50.5
2006/09/18 - 2006/09/24,52.22,50.88
2006/09/25 - 2006/10/01,52.78,51.49
2006/10/02 - 2006/10/08,52.79,51.5
2006/10/09 - 2006/10/15,52.52,51.21
2006/10/16 - 2006/10/22,52.71,51.41
2006/10/23 - 2006/10/29,53.8,52.56
2006/10/30 - 2006/11/05,55.16,54.01
2006/11/06 - 2006/11/12,54.79,53.61
2006/11/13 - 2006/11/19,53.13,51.84
2006/11/20 - 2006/11/26,53.04,51.73
2006/11/27 - 2006/12/03,52.27,50.9
2006/12/04 - 2006/12/10,53.34,51.87
2006/12/11 - 2006/12/17,53.1,51.62
2006/12/18 - 2006/12/24,53.94,52.57
2006/12/25 - 2006/12/31,53.93,52.58
2007/01/01 - 2007/01/07,53.48,52.09
2007/01/08 - 2007/01/14,53.51,52.1
2007/01/15 - 2007/01/21,53.17,51.73
2007/01/22 - 2007/01/28,52.93,51.54
2007/01/29 - 2007/02/04,53.62,52.2
2007/02/05 - 2007/02/11,53.27,51.71
2007/02/12 - 2007/02/18,54.07,52.56
2007/02/19 - 2007/02/25,54.03,52.48
2007/02/26 - 2007/03/04,54.23,52.78
2007/03/05 - 2007/03/11,54.39,52.97
2007/03/12 - 2007/03/18,54.61,53.22
2007/03/19 - 2007/03/25,55.03,53.67
2007/03/26 - 2007/04/01,54.86,53.5
2007/04/02 - 2007/04/08,54.39,52.94
2007/04/09 - 2007/04/15,55.07,53.65
2007/04/16 - 2007/04/22,55.82,54.47
2007/04/23 - 2007/04/29,55.39,53.96
2007/04/30 - 2007/05/06,55.46,53.91
2007/05/07 - 2007/05/13,55.35,53.84
2007/05/14 - 2007/05/20,54.87,53.32
2007/05/21 - 2007/05/27,55.21,53.7
2007/05/28 - 2007/06/03,55.43,53.7
2007/06/04 - 2007/06/10,55.93,54.22
2007/06/11 - 2007/06/17,56.46,54.74
2007/06/18 - 2007/06/24,56.71,55.04
2007/06/25 - 2007/07/01,56.21,54.42
2007/07/02 - 2007/07/08,56.24,54.41
2007/07/09 - 2007/07/15,56.41,54.69
2007/07/16 - 2007/07/22,56.57,54.85
2007/07/23 - 2007/07/29,56.98,55.31
2007/07/30 - 2007/08/05,56.84,55.28
2007/08/06 - 2007/08/12,57.03,55.48
2007/08/13 - 2007/08/19,57.47,55.95
2007/08/20 - 2007/08/26,57.3,55.68
2007/08/27 - 2007/09/02,57.3,55.7
2007/09/03 - 2007/09/09,57.51,55.66
2007/09/10 - 2007/09/16,58.14,56.43
2007/09/17 - 2007/09/23,57.64,55.78
2007/09/24 - 2007/09/30,58.23,56.29
2007/10/01 - 2007/10/07,58.41,56.62
2007/10/08 - 2007/10/14,58.69,56.88
2007/10/15 - 2007/10/21,58.79,56.99
2007/10/22 - 2007/10/28,59.36,57.22
2007/10/29 - 2007/11/04,60.45,58.13
2007/11/05 - 2007/11/11,61.31,58.92
2007/11/12 - 2007/11/18,62.1,59.76
2007/11/19 - 2007/11/25,63.33,60.73
2007/11/26 - 2007/12/02,63.81,61.37
2007/12/03 - 2007/12/09,65.55,62.74
2007/12/10 - 2007/12/16,66.36,63.77
2007/12/17 - 2007/12/23,66.39,63.65
2007/12/24 - 2007/12/30,66.98,64.32
2007/12/31 - 2008/01/06,67.59,64.98
2008/01/07 - 2008/01/13,68.48,65.85
2008/01/14 - 2008/01/20,69.36,66.77
2008/01/21 - 2008/01/27,70.59,67.93
2008/01/28 - 2008/02/03,71.03,68.05
2008/02/04 - 2008/02/10,72.08,69.13
2008/02/11 - 2008/02/17,73.81,71.08
2008/02/18 - 2008/02/24,73.28,70.33
2008/02/25 - 2008/03/02,73.98,71.07
2008/03/03 - 2008/03/09,73.98,70.87
2008/03/10 - 2008/03/16,73.01,69.97
2008/03/17 - 2008/03/23,72.79,69.72
2008/03/24 - 2008/03/30,72.89,70.06
2008/03/31 - 2008/04/06,73.75,70.91
2008/04/07 - 2008/04/13,71.93,69.02
2008/04/14 - 2008/04/20,72.57,69.77
2008/04/21 - 2008/04/27,71.46,68.58
2008/04/28 - 2008/05/04,71.44,68.61
2008/05/05 - 2008/05/11,71.51,68.59
2008/05/12 - 2008/05/18,71.86,69.11
2008/05/19 - 2008/05/25,72.67,69.87
2008/05/26 - 2008/06/01,72.16,69.26
2008/06/02 - 2008/06/08,73.23,70.26
2008/06/09 - 2008/06/15,73.24,70
2008/06/16 - 2008/06/22,72.62,69.39
2008/06/23 - 2008/06/29,73.38,70.27
2008/06/30 - 2008/07/06,72.77,69.7
2008/07/07 - 2008/07/13,72.38,69.41
2008/07/14 - 2008/07/20,71.84,68.78
2008/07/21 - 2008/07/27,71.55,68.47
2008/07/28 - 2008/08/03,70.81,67.59
2008/08/04 - 2008/08/10,70.46,67.24
2008/08/11 - 2008/08/17,70.49,67.31
2008/08/18 - 2008/08/24,70.13,66.92
2008/08/25 - 2008/08/31,69.94,66.86
2008/09/01 - 2008/09/07,68.93,65.93
2008/09/08 - 2008/09/14,68.4,65.44
2008/09/15 - 2008/09/21,68.26,65.26
2008/09/22 - 2008/09/28,67.52,64.46
2008/09/29 - 2008/10/05,67.44,64.61
2008/10/06 - 2008/10/12,66.27,63.79
2008/10/13 - 2008/10/19,64.64,62.01
2008/10/20 - 2008/10/26,63.45,61
2008/10/27 - 2008/11/02,61.61,59.09
2008/11/03 - 2008/11/09,59.93,57.94
2008/11/10 - 2008/11/16,57.43,55.41
2008/11/17 - 2008/11/23,57,55.03
2008/11/24 - 2008/11/30,56.92,54.99
2008/12/01 - 2008/12/07,57.15,55.19
2008/12/08 - 2008/12/14,56.71,54.77
2008/12/15 - 2008/12/21,56.93,54.99
2008/12/22 - 2008/12/28,56.78,54.89
2008/12/29 - 2009/01/04,57.52,55.75
2009/01/05 - 2009/01/11,57.51,55.94
2009/01/12 - 2009/01/18,57.99,56.42
2009/01/19 - 2009/01/25,58.38,56.87
2009/01/26 - 2009/02/01,58.53,57.02
2009/02/02 - 2009/02/08,58.35,56.75
2009/02/09 - 2009/02/15,58.7,57.28
2009/02/16 - 2009/02/22,58.62,57.02
2009/02/23 - 2009/03/01,59.45,57.78
2009/03/02 - 2009/03/08,59.47,57.87
2009/03/09 - 2009/03/15,59.74,58.25
2009/03/16 - 2009/03/22,59.43,57.9
2009/03/23 - 2009/03/29,60.2,58.71
2009/03/30 - 2009/04/05,60.1,58.48
2009/04/06 - 2009/04/12,60.66,59.2
2009/04/13 - 2009/04/19,61.5,60.06
2009/04/20 - 2009/04/26,62.83,61.29
2009/04/27 - 2009/05/03,63.08,61.43
2009/05/04 - 2009/05/10,64.34,62.48
2009/05/11 - 2009/05/17,64.3,62.56
2009/05/18 - 2009/05/24,64.35,62.72
2009/05/25 - 2009/05/31,65.49,63.62
2009/06/01 - 2009/06/07,65,63.18
2009/06/08 - 2009/06/14,65.82,64.07
2009/06/15 - 2009/06/21,67.11,65.49
2009/06/22 - 2009/06/28,68.42,66.77
2009/06/29 - 2009/07/05,67.59,65.59
2009/07/06 - 2009/07/12,68.46,66.52
2009/07/13 - 2009/07/19,68.62,66.73
2009/07/20 - 2009/07/26,68.71,66.89
2009/07/27 - 2009/08/02,69.44,67.1
2009/08/03 - 2009/08/09,69.51,67.33
2009/08/10 - 2009/08/16,70.12,67.62
2009/08/17 - 2009/08/23,70.79,68.5
2009/08/24 - 2009/08/30,70.72,68.31
2009/08/31 - 2009/09/06,72.65,70.38
2009/09/07 - 2009/09/13,72.06,70.07
2009/09/14 - 2009/09/20,72.18,70.05
2009/09/21 - 2009/09/27,72.92,70.95
2009/09/28 - 2009/10/04,72.7,70.81
2009/10/05 - 2009/10/11,73.8,71.57
2009/10/12 - 2009/10/18,73.37,71.38
2009/10/19 - 2009/10/25,73.39,71.16
2009/10/26 - 2009/11/01,73.74,71.3
2009/11/02 - 2009/11/08,73.52,71.2
2009/11/09 - 2009/11/15,73.91,71.42
2009/11/16 - 2009/11/22,73.56,71.05
2009/11/23 - 2009/11/29,72.61,70
2009/11/30 - 2009/12/06,73.03,70.61
2009/12/07 - 2009/12/13,72.79,70.61
2009/12/14 - 2009/12/20,73.08,70.79
2009/12/21 - 2009/12/27,73.23,70.95
2009/12/28 - 2010/01/03,74.07,71.77
2010/01/04 - 2010/01/10,74.87,72.69
2010/01/11 - 2010/01/17,75.08,72.86
2010/01/18 - 2010/01/24,76.17,74.09
2010/01/25 - 2010/01/31,76.05,73.55
2010/02/01 - 2010/02/07,76.67,74.25
2010/02/08 - 2010/02/14,77.03,74.57
2010/02/15 - 2010/02/21,77.26,74.74
2010/02/22 - 2010/02/28,77.96,75.65
2010/03/01 - 2010/03/07,77.01,74.72
2010/03/08 - 2010/03/14,77.24,74.82
2010/03/15 - 2010/03/21,78.63,76.43
2010/03/22 - 2010/03/28,78.69,76.25
2010/03/29 - 2010/04/04,78.64,76.26
2010/04/05 - 2010/04/11,78.48,76.11
2010/04/12 - 2010/04/18,79.39,77.16
2010/04/19 - 2010/04/25,78.77,76.47
2010/04/26 - 2010/05/02,80.68,78.2
2010/05/03 - 2010/05/09,77.42,79.86
2010/05/10 - 2010/05/16,77.55,80.06
2010/05/17 - 2010/05/23,80.32,77.67
2010/05/24 - 2010/05/30,79.16,76.47
2010/05/31 - 2010/06/06,79.48,76.88
2010/06/07 - 2010/06/13,79.68,77.08
2010/06/14 - 2010/06/20,79.12,76.25
2010/06/21 - 2010/06/27,80.12,77.43
2010/06/28 - 2010/07/04,80.15,77.33
2010/07/05 - 2010/07/11,80.9,78.62
2010/07/12 - 2010/07/18,81.18,78.65
2010/07/19 - 2010/07/25,81.88,79.35
2010/07/26 - 2010/08/01,82.14,79.73
2010/08/02 - 2010/08/08,83.51,81.26
2010/08/09 - 2010/08/15,83.36,80.86
2010/08/16 - 2010/08/22,83.57,81.03
2010/08/23 - 2010/08/29,83.61,80.87
2010/08/30 - 2010/09/05,84.54,81.79
2010/09/06 - 2010/09/12,84.16,81.3
2010/09/13 - 2010/09/19,83.99,81.09
2010/09/20 - 2010/09/26,85.34,82.32
2010/09/27 - 2010/10/03,84.85,81.83
2010/10/04 - 2010/10/10,85.09,82.24
2010/10/11 - 2010/10/17,85.13,82.35
2010/10/18 - 2010/10/24,85.62,82.88
2010/10/25 - 2010/10/31,86.87,84
2010/11/01 - 2010/11/07,87.55,84.62
2010/11/08 - 2010/11/14,87.41,84.7
2010/11/15 - 2010/11/21,88.24,85.62
2010/11/22 - 2010/11/28,88.58,86.12
2010/11/29 - 2010/12/05,89.41,86.75
2010/12/06 - 2010/12/12,88.27,84.99
2010/12/13 - 2010/12/19,87.48,84.26
2010/12/20 - 2010/12/26,88.4,85.22
2010/12/27 - 2011/01/02,88.38,85.2
2011/01/03 - 2011/01/09,90.05,87.01
2011/01/10 - 2011/01/16,90.01,87.1
2011/01/17 - 2011/01/23,91.21,88.29
2011/01/24 - 2011/01/30,90.83,87.9
2011/01/31 - 2011/02/06,91.45,88.85
2011/02/07 - 2011/02/13,93.41,90.61
2011/02/14 - 2011/02/20,93.99,91.24
2011/02/21 - 2011/02/27,94.81,92.13
2011/02/28 - 2011/03/06,96.44,93.58
2011/03/07 - 2011/03/13,96.51,93.72
2011/03/14 - 2011/03/20,98.15,95.41
2011/03/21 - 2011/03/27,97.41,94.42
2011/03/28 - 2011/04/03,96.98,93.88
2011/04/04 - 2011/04/10,96.55,93.26
2011/04/11 - 2011/04/17,97.13,94.15
2011/04/18 - 2011/04/24,97.6,94.72
2011/04/25 - 2011/05/01,97.59,94.85
2011/05/02 - 2011/05/08,97.45,94.44
2011/05/09 - 2011/05/15,97.44,94.41
2011/05/16 - 2011/05/22,98.16,95.38
2011/05/23 - 2011/05/29,99.43,96.9
2011/05/30 - 2011/06/05,100.72,97.67
2011/06/06 - 2011/06/12,99.7,96.56
2011/06/13 - 2011/06/19,98.73,95.67
2011/06/20 - 2011/06/26,99.23,96.29
2011/06/27 - 2011/07/03,100.29,96.84
2011/07/04 - 2011/07/10,98.89,95.33
2011/07/11 - 2011/07/17,99.08,96.27
2011/07/18 - 2011/07/24,99,96.23
2011/07/25 - 2011/07/31,99.11,95.61
2011/08/01 - 2011/08/07,99.53,95.95
2011/08/08 - 2011/08/14,99.31,95.46
2011/08/15 - 2011/08/21,99.15,95.15
2011/08/22 - 2011/08/28,99.41,95.43
2011/08/29 - 2011/09/04,98.6,94.86
2011/09/05 - 2011/09/11,98.24,94.98
2011/09/12 - 2011/09/18,98.18,94.78
2011/09/19 - 2011/09/25,99.21,95.85
2011/09/26 - 2011/10/02,99.8,96.69
2011/10/03 - 2011/10/09,99.07,95.7
2011/10/10 - 2011/10/16,98.52,95.02
2011/10/17 - 2011/10/23,98.16,94.6
2011/10/24 - 2011/10/30,97.94,94.87
2011/10/31 - 2011/11/06,96.91,94.11
2011/11/07 - 2011/11/13,97.29,94.52
2011/11/14 - 2011/11/20,97.09,94.48
2011/11/21 - 2011/11/27,97.24,94.3
2011/11/28 - 2011/12/04,98.13,95.34
2011/12/05 - 2011/12/11,97.1,94.37
2011/12/12 - 2011/12/18,96.81,94.03
2011/12/19 - 2011/12/25,96.68,93.89
2011/12/26 - 2012/01/01,95.47,92.41
2012/01/02 - 2012/01/08,94.16,91.25
2012/01/09 - 2012/01/15,94.31,91.66
2012/01/16 - 2012/01/22,94.75,92.17
2012/01/23 - 2012/01/29,94.47,91.91
2012/01/30 - 2012/02/05,95.04,92.63
2012/02/06 - 2012/02/12,95.01,92.68
2012/02/13 - 2012/02/19,94.38,92.01
2012/02/20 - 2012/02/26,95.15,93.14
2012/02/27 - 2012/03/04,96.69,94.28
2012/03/05 - 2012/03/11,98.41,95.72
2012/03/12 - 2012/03/18,99.17,96.75
2012/03/19 - 2012/03/25,100.06,97.97
2012/03/26 - 2012/04/01,101.17,99.15
2012/04/02 - 2012/04/08,101.79,99.76
2012/04/09 - 2012/04/15,102.5,100.71
2012/04/16 - 2012/04/22,102.17,100.05
2012/04/23 - 2012/04/29,101.12,98.9
2012/04/30 - 2012/05/06,102.89,101.4
2012/05/07 - 2012/05/13,103.35,101.46
2012/05/14 - 2012/05/20,103.94,101.89
2012/05/21 - 2012/05/27,104,101.72
2012/05/28 - 2012/06/03,104.01,101.85
2012/06/04 - 2012/06/10,103.82,101.35
2012/06/11 - 2012/06/17,104.14,102.01
2012/06/18 - 2012/06/24,104.6,102.33
2012/06/25 - 2012/07/01,105.46,103.13
2012/07/02 - 2012/07/08,105.01,102.33
2012/07/09 - 2012/07/15,104.25,101.41
2012/07/16 - 2012/07/22,104.93,101.99
2012/07/23 - 2012/07/29,106.54,103.71
2012/07/30 - 2012/08/05,105.78,103.33
2012/08/06 - 2012/08/12,106.85,104.85
2012/08/13 - 2012/08/19,107.18,105.22
2012/08/20 - 2012/08/26,106.89,105.17
2012/08/27 - 2012/09/02,107.99,105.85
2012/09/03 - 2012/09/09,108.8,107.02
2012/09/10 - 2012/09/16,108.17,106.05
2012/09/17 - 2012/09/23,109.81,107.88
2012/09/24 - 2012/09/30,110.14,108.55
2012/10/01 - 2012/10/07,111.11,109.21
2012/10/08 - 2012/10/14,111.19,109.41
2012/10/15 - 2012/10/21,112.25,110.37
2012/10/22 - 2012/10/28,114.35,112.33
2012/10/29 - 2012/11/04,116.07,113.81
2012/11/05 - 2012/11/11,116.81,114.2
2012/11/12 - 2012/11/18,116.17,114.32
2012/11/19 - 2012/11/25,115.05,113.11
2012/11/26 - 2012/12/02,114.38,112.52
2012/12/03 - 2012/12/09,114.57,113.2
2012/12/10 - 2012/12/16,114.97,113.5
2012/12/17 - 2012/12/23,115.18,113.61
2012/12/24 - 2012/12/30,115.78,114.25
2012/12/31 - 2013/01/06,115.6,113.93
2013/01/07 - 2013/01/13,115.93,114.29
2013/01/14 - 2013/01/20,118.38,116.61
2013/01/21 - 2013/01/27,119.13,117.6
2013/01/28 - 2013/02/03,120.66,119.4
2013/02/04 - 2013/02/10,121.73,120.41
2013/02/11 - 2013/02/17 ,121.58,120.27
2013/02/18 - 2013/02/24,121.64,120.97
2013/02/25 - 2013/03/03,121.95,121.27
2013/03/04 - 2013/03/10 ,122.09,121.41
2013/03/11 - 2013/03/17,123.66,122.98
2013/03/18 - 2013/03/24,123.45,122.72
2013/03/25 - 2013/03/31 ,123.01,122.22
2013/04/01 - 2013/04/07,121.83,121.29
2013/04/08 - 2013/04/14  ,120.12,119.35
2013/04/15 - 2013/04/21,118.71,117.7
2013/04/22 - 2013/04/28,118.84,118.08
2013/04/29 - 2013/05/05 ,118.51,117.6
2013/05/06 - 2013/05/12 ,118.58,117.61
2013/05/13 - 2013/05/19 ,118.79,117.85
2013/05/20 - 2013/05/26,119.06,118.31
2013/05/27 - 2013/06/02 ,120.14,118.81
2013/06/03 - 2013/06/09 ,120.74,119.57
2013/06/10 - 2013/06/16 ,119.96,118.69
2013/06/17 - 2013/06/23,121.22,120.64
2013/06/24 - 2013/06/30 ,121.88,121.58
2013/07/01 - 2013/07/07,119.69,119.11
2013/07/08 - 2013/07/14,120.14,119.82
2013/07/15 - 2013/07/21,120.61,120.36
2013/07/22 - 2013/07/28,120.95,120.29
2013/07/29 - 2013/08/04,120.41,119.74
2013/08/05 - 2013/08/11,119.3,118.69
2013/08/12 - 2013/08/18,119.79,119.54
2013/08/19 - 2013/08/25,119.85,119.17
2013/08/26 - 2013/09/01 ,120.86,120.44
2013/09/02 - 2013/09/08 ,121.94,121.32
2013/09/09 - 2013/09/15,120.84,120.39
2013/09/16 - 2013/09/22,121.08,120.61
2013/09/23 - 2013/09/29,120,119.37
2013/09/30 - 2013/10/06,119.83,118.97
2013/10/07 - 2013/10/13 ,119.87,119.11
2013/10/14 - 2013/10/20,120.08,119.41
2013/10/21 - 2013/10/27,119.5,118.67
2013/10/28 - 2013/11/03,120.72,120.03
2013/11/04 - 2013/11/10,119.93,119.16
2013/11/11 - 2013/11/17 ,120.13,119.39
2013/11/18 - 2013/11/24 ,120.39,119.64
2013/11/25 - 2013/12/01 ,119.53,118.56
2013/12/02 - 2013/12/08,118.96,118.16
2013/12/09 - 2013/12/15,118.61,117.49
2013/12/16 - 2013/12/22,118.95,117.86
2013/12/23 - 2013/12/29 ,119.07,118.19
2013/12/30 - 2014/01/05 ,118.96,118.1
2014/01/06 - 2014/01/12 ,117.71,116.65
2014/01/13 - 2014/01/19,118.2,117.19
2014/01/20 - 2014/01/26,117.56,116.47
2014/01/27 - 2014/02/02,118.31,117.32
2014/02/03 - 2014/02/09 ,118.08,117.34
2014/02/10 - 2014/02/16,117.41,116.65
2014/02/17 - 2014/02/23,117.77,116.91
2014/02/24 - 2014/03/02 ,118.02,117.12
2014/03/03 - 2014/03/09,117.18,116.29
2014/03/10 - 2014/03/16,118.25,117.6
2014/03/17 - 2014/03/23,118.42,117.73
2014/03/24 - 2014/03/30,117.22,116.4
2014/03/31 - 2014/04/06 ,118.82,117.99
2014/04/07 - 2014/04/13 ,119.04,117.94
2014/04/14 - 2014/04/20 ,118.31,117.41
2014/04/21 - 2014/04/27 ,118.4,127.12
2014/04/28 - 2014/05/04 ,118.12,127.07
2014/05/05 - 2014/05/11,118.86,128.19
2014/05/12 - 2014/05/18,118.56,127.31
2014/05/19 - 2014/05/25,119.07,127.37
2014/05/26 - 2014/06/01 ,118.37,125.76
2014/06/02 - 2014/06/08 ,119.23,126.23
2014/06/09 - 2014/06/15 ,119.89,126.45
2014/06/16 - 2014/06/22,121.16,127.54
2014/06/23 - 2014/06/29 ,121.19,126.24
2014/06/30 - 2014/07/06,123.35,128.24
2014/07/07 - 2014/07/13 ,123.36,126.93
2014/07/14 - 2014/07/20,123.2,126.79
2014/07/21 - 2014/07/27,123.54,124.24
2014/07/28 - 2014/08/03,124,124.22
2014/08/04 - 2014/08/10,125.66,125.64
2014/08/11 - 2014/08/17,125.31,125.59
2014/08/18 - 2014/08/24,126.2,126.64
2014/08/25 - 2014/08/31,126.94,127.33
2014/09/01 - 2014/09/07,126.14,126.59
2014/09/08 - 2014/09/14,126.8,127.51
2014/09/15 - 2014/09/21,127.46,128.06
2014/09/22 - 2014/09/28,128.14,128.33
2014/09/29 - 2014/10/05,127.65,128.4
2014/10/06 - 2014/10/12,129.83,130.46
2014/10/13 - 2014/10/19,129.38,130.11
2014/10/20 - 2014/10/26,129.39,130.04
2014/10/27 - 2014/11/02,129.4,130.11
2014/11/03 - 2014/11/09,129.69,130.55
2014/11/10 - 2014/11/16,129.61,130.95
2014/11/17 - 2014/11/23,130.16,131.47
2014/11/24 - 2014/11/30,130.46,131.44
2014/12/01 - 2014/12/07,131.61,132.65
2014/12/08 - 2014/12/14,132.81,133.92
2014/12/15 - 2014/12/21,132.69,133.76
2014/12/22 - 2014/12/28,132.45,133.5
2014/12/29 - 2015/01/04,133.34,134.43
2015/01/05 - 2015/01/11,133.64,134.3
2015/01/12 - 2015/01/18,134.64,135.45
2015/01/19 - 2015/01/25,134.03,135.01
2015/01/26 - 2015/02/01,136.35,138.01
2015/02/02 - 2015/02/08,136.64,137.46
2015/02/09 - 2015/02/15,137.2,138.52
2015/02/16 - 2015/02/22,136.2,137.34
2015/02/23 - 2015/03/01,137.12,138.67
2015/03/02 - 2015/03/08,138.8,140.46
2015/03/09 - 2015/03/15,139.03,140.7
2015/03/16 - 2015/03/22,140.05,141.81
2015/03/23 - 2015/03/29,139.7,140.95
2015/03/30 - 2015/04/05,142.36,143.9
2015/04/06 - 2015/04/12,141.6,143.12
2015/04/13 - 2015/04/19,140.04,141.27
2015/04/20 - 2015/04/26,141.22,142.47
2015/04/27 - 2015/05/03,141.46,143.28
2015/05/04 - 2015/05/10,141.37,142.68
2015/05/11 - 2015/05/17,141.3,142.33
2015/05/18 - 2015/05/24,140.33,141.79
2015/05/25 - 2015/05/31,141.96,143.4
2015/06/01 - 2015/06/07,143.31,144.54
2015/06/08 - 2015/06/14,142.26,144.06
2015/06/15 - 2015/06/21,141.87,143.53
2015/06/22 - 2015/06/28,143.56,145.43
2015/06/29 - 2015/07/05,143.15,144.94
2015/07/06 - 2015/07/12,142.62,144.57
2015/07/13 - 2015/07/19,143.32,144.96
2015/07/20 - 2015/07/26,145.48,147.41
2015/07/27 - 2015/08/02,146.07,147.91
2015/08/03 - 2015/08/09,144.29,146.25
2015/08/10 - 2015/08/16,144.84,147.09
2015/08/17 - 2015/08/23,145.45,146.83
2015/08/24 - 2015/08/30,146.78,148.27
2015/08/31 - 2015/09/06,146.76,148.27
2015/09/07 - 2015/09/13,146.92,148.61
2015/09/14 - 2015/09/20,146.67,148.39
2015/09/21 - 2015/09/27,146.01,147.61
2015/09/28 - 2015/10/04,146.45,148.22
2015/10/05 - 2015/10/11,144.61,146.1
2015/10/12 - 2015/10/18,144.33,145.54
2015/10/19 - 2015/10/25,142.98,144.05
2015/10/26 - 2015/11/01,141.76,142.96
2015/11/02 - 2015/11/08,142.14,143.61
2015/11/09 - 2015/11/15,141.13,142.74
2015/11/16 - 2015/11/22,140.27,141.8
2015/11/23 - 2015/11/29,139.82,141.57
2015/11/30 - 2015/12/06,138.22,140.11
2015/12/07 - 2015/12/13,137.3,139.05
2015/12/14 - 2015/12/20,136.86,137.72
2015/12/21 - 2015/12/27,135.89,136.6
2015/12/28 - 2016/01/03,135.83,136.54
2016/01/04 - 2016/01/10,134.41,135.8
2016/01/11 - 2016/01/17,134.95,136.44
2016/01/18 - 2016/01/24,132.9,134.03
2016/01/25 - 2016/01/31,131.95,132.35
2016/02/01 - 2016/02/07,131.01,131.29
2016/02/08 - 2016/02/14,130.58,130.79
2016/02/15 - 2016/02/21,130.77,130.93
2016/02/22 - 2016/02/28,131.76,131.74
2016/02/29 - 2016/03/06,130.3,130.06
2016/03/07 - 2016/03/13,127.5,127.73
2016/03/14 - 2016/03/20,128.4,128.64
2016/03/21 - 2016/03/27,127.46,127.55
2016/03/28 - 2016/04/03,127.84,128.42
2016/04/04 - 2016/04/10,128.34,128.99
2016/04/11 - 2016/04/17,127.96,128.52
2016/04/18 - 2016/04/24,129.87,130.06
2016/04/25 - 2016/05/01,128.48,129.45
