date,y1,y2
1996/07/15 - 1996/07/21,66.06,66.99
1996/07/22 - 1996/07/28,64.55,64.97
1996/07/29 - 1996/08/04,64.48,65.97
1996/08/05 - 1996/08/11,66.16,66.95
1996/08/12 - 1996/08/18,65.83,67.09
1996/08/19 - 1996/08/25,64.91,65.12
1996/08/26 - 1996/09/01,66.22,66.72
1996/09/02 - 1996/09/08,66.53,67.28
1996/09/09 - 1996/09/15,65.97,66.69
1996/09/16 - 1996/09/22,67.18,68
1996/09/23 - 1996/09/29,67.53,68.44
1996/09/30 - 1996/10/06,67.82,68.46
1996/10/07 - 1996/10/13,69.01,69.71
1996/10/14 - 1996/10/20,69.39,69.83
1996/10/21 - 1996/10/27,70.44,71.07
1996/10/28 - 1996/11/03,71.06,71.64
1996/11/04 - 1996/11/10,72.7,73.57
1996/11/11 - 1996/11/17,72.45,72.93
1996/11/18 - 1996/11/24,74.44,74.82
1996/11/25 - 1996/12/01,74.52,74.8
1996/12/02 - 1996/12/08,76.35,76.23
1996/12/09 - 1996/12/15,77.26,77.3
1996/12/16 - 1996/12/22,77.69,77.8
1996/12/23 - 1996/12/29,78.88,78.94
1996/12/30 - 1997/01/05,80.32,80.24
1997/01/06 - 1997/01/12,81.22,81.5
1997/01/13 - 1997/01/19,82.02,82.09
1997/01/20 - 1997/01/26,83.58,83.27
1997/01/27 - 1997/02/02,83.98,83.56
1997/02/03 - 1997/02/09,84.37,83.95
1997/02/10 - 1997/02/16,85.2,84.91
1997/02/17 - 1997/02/23,87.14,87.19
1997/02/24 - 1997/03/02,90.73,90.82
1997/03/03 - 1997/03/09,94.03,93.92
1997/03/10 - 1997/03/16,95.17,95.65
1997/03/17 - 1997/03/23,94.36,94.73
1997/03/24 - 1997/03/30,95.78,96.47
1997/03/31 - 1997/04/06,92.27,92.64
1997/04/07 - 1997/04/13,90.04,90.11
1997/04/14 - 1997/04/20,88.75,88.65
1997/04/21 - 1997/04/27,89.3,88.82
1997/04/28 - 1997/05/04,91.64,92.55
1997/05/05 - 1997/05/11,93.35,93.81
1997/05/12 - 1997/05/18,96.04,96.24
1997/05/19 - 1997/05/25,97.55,97.53
1997/05/26 - 1997/06/01,100.47,100.45
1997/06/02 - 1997/06/08,101.96,101.83
1997/06/09 - 1997/06/15,101.83,100.98
1997/06/16 - 1997/06/22,97.48,97.18
1997/06/23 - 1997/06/29,102.51,102.42
1997/06/30 - 1997/07/06,100,100
1997/07/07 - 1997/07/13,98.39,98.24
1997/07/14 - 1997/07/20,96.75,96.42
1997/07/21 - 1997/07/27,96.54,95.8
1997/07/28 - 1997/08/03,97.73,97.76
1997/08/04 - 1997/08/10,97.63,98.34
1997/08/11 - 1997/08/17,96.11,96.59
1997/08/18 - 1997/08/24,98.4,99.34
1997/08/25 - 1997/08/31,98,98.73
1997/09/01 - 1997/09/07,96.65,96.96
1997/09/08 - 1997/09/14,95.98,96.55
1997/09/15 - 1997/09/21,97.91,98.2
1997/09/22 - 1997/09/28,99.31,99.5
1997/09/29 - 1997/10/05,99.21,99.46
1997/10/06 - 1997/10/12,100.56,100.62
1997/10/13 - 1997/10/19,102.93,103.18
1997/10/20 - 1997/10/26,101.2,101.56
1997/10/27 - 1997/11/02,96.25,96.4
1997/11/03 - 1997/11/09,90.1,89.64
1997/11/10 - 1997/11/16,87.68,86.86
1997/11/17 - 1997/11/23,88.06,88.9
1997/11/24 - 1997/11/30,87.11,87.68
1997/12/01 - 1997/12/07,86.59,87.66
1997/12/08 - 1997/12/14,85.82,86.91
1997/12/15 - 1997/12/21,83.69,84.49
1997/12/22 - 1997/12/28,85.02,86.15
1997/12/29 - 1998/01/04,80.71,81.35
1998/01/05 - 1998/01/11,77.86,79.18
1998/01/12 - 1998/01/18,70.55,71.1
1998/01/19 - 1998/01/25,69.77,70.75
1998/01/26 - 1998/02/01,71.16,71.84
1998/02/02 - 1998/02/08,70.12,70.72
1998/02/09 - 1998/02/15,72.98,73.98
1998/02/16 - 1998/02/22,74.41,75.69
1998/02/23 - 1998/03/01,75.36,76.24
1998/03/02 - 1998/03/08,75.14,76.32
1998/03/09 - 1998/03/15,74.14,75.26
1998/03/16 - 1998/03/22,71.52,72.3
